"No.","Time","Source","Destination","Protocol","Length","Info"
"11595","460.440437972","10.0.2.15","5.196.78.28","MQTT","205","Publish Message [university/facility3/area3/light]"
"11599","460.934851327","10.0.2.15","5.196.78.28","MQTT","197","Publish Message [university/department2]"
"11601","461.336327256","10.0.2.15","18.192.151.104","MQTT","193","Publish Message [metaverse/building3]"
"11603","462.257329091","10.0.2.15","18.192.151.104","MQTT","205","Publish Message [hospital/room2/room2/temperature]"
"11608","462.667849565","10.0.2.15","18.192.151.104","MQTT","199","Publish Message [factory/department2/floor4]"
"11620","462.867876531","::1","::1","MQTT","222","Publish Message [factory/building3]"
"11623","462.871878105","::1","::1","MQTT","222","Publish Message [factory/building3]"
"11674","463.278952113","10.0.2.15","18.192.151.104","MQTT","197","Publish Message [hospital/building3/room2]"
"11676","463.577659793","10.0.2.15","18.192.151.104","MQTT","214","Publish Message [hospital/facility3/floor4/hydraulic_valve]"
"11678","463.838211213","10.0.2.15","5.196.78.28","MQTT","193","Publish Message [metaverse/building3]"
"11680","465.133174410","10.0.2.15","18.192.151.104","MQTT","200","Publish Message [metaverse/room2/area3/light]"
"11682","465.397391093","10.0.2.15","18.192.151.104","MQTT","196","Publish Message [university/room2/floor4]"
"11684","465.416384500","18.192.151.104","10.0.2.15","MQTT","196","Publish Message [university/room2/floor4]"
"11686","465.421676963","18.192.151.104","10.0.2.15","MQTT","197","Publish Message [university/room2/floor4]"
"11690","465.990445295","10.0.2.15","18.192.151.104","MQTT","198","Publish Message [hospital/facility3/floor4]"
"11695","466.882436155","10.0.2.15","18.192.151.104","MQTT","209","Publish Message [metaverse/department2/room2/deposit]"
"11698","467.108891366","10.0.2.15","5.196.78.28","MQTT","192","Publish Message [metaverse/facility3]"
"11702","467.713029690","10.0.2.15","18.192.151.104","MQTT","200","Publish Message [hospital/building3/section1]"
"11704","467.841581245","10.0.2.15","18.192.151.104","MQTT","194","Publish Message [university/building3]"
"11706","467.930439956","18.192.151.104","10.0.2.15","MQTT","193","Publish Message [university/building3]"
"11708","468.377557100","10.0.2.15","5.196.78.28","MQTT","195","Publish Message [factory/room2/section1]"
"11710","468.475288922","::1","::1","MQTT","249","Publish Message [university/department2/area3/hydraulic_valve]"
"11712","468.475525838","::1","::1","MQTT","250","Publish Message [university/department2/area3/hydraulic_valve]"
"11716","468.829897521","10.0.2.15","5.196.78.28","MQTT","202","Publish Message [factory/building3/area3/light]"
"11722","468.984482455","10.0.2.15","18.192.151.104","MQTT","187","Publish Message [hospital/room2]"
"11724","468.990744501","10.0.2.15","5.196.78.28","MQTT","201","Publish Message [university/facility3/room2]"
"11726","469.472242782","10.0.2.15","5.196.78.28","MQTT","196","Publish Message [university/department2]"
"11728","469.559650689","10.0.2.15","35.158.43.69","MQTT","200","Publish Message [metaverse/room2/room2/light]"
"11732","469.985338784","10.0.2.15","18.192.151.104","MQTT","185","Publish Message [factory/room2]"
"11734","470.026536407","18.192.151.104","10.0.2.15","MQTT","185","Publish Message [factory/room2]"
"11736","470.036865788","10.0.2.15","35.158.43.69","MQTT","82","Publish Message [university/room2/room2]"
"11738","470.111972237","18.192.151.104","10.0.2.15","MQTT","82","Publish Message [university/room2/room2]"
"11740","470.114400456","18.192.151.104","10.0.2.15","MQTT","83","Publish Message [university/room2/room2]"
"11742","470.266961955","::1","::1","MQTT","235","Publish Message [metaverse/department2/floor4]"
"11744","470.267071027","::1","::1","MQTT","235","Publish Message [metaverse/department2/floor4]"
"11746","470.267077877","::1","::1","MQTT","235","Publish Message [metaverse/department2/floor4]"
"11748","471.453075670","::1","::1","MQTT","224","Publish Message [hospital/facility3]"
"11750","471.594104275","10.0.2.15","18.192.151.104","MQTT","207","Publish Message [university/department2/area3/light]"
"11752","471.675920729","10.0.2.15","5.196.78.28","MQTT","190","Publish Message [factory/facility3]"
"11754","471.677157854","18.192.151.104","10.0.2.15","MQTT","207","Publish Message [university/department2/area3/light]"
"11756","471.677964121","18.192.151.104","10.0.2.15","MQTT","208","Publish Message [university/department2/area3/light]"
"11758","471.787777644","10.0.2.15","5.196.78.28","MQTT","196","Publish Message [university/department2]"
"11760","471.856508766","::1","::1","MQTT","229","Publish Message [hospital/facility3/area3]"
"11794","472.594654306","10.0.2.15","35.158.43.69","MQTT","217","Publish Message [factory/department2/section1/hydraulic_valve]"
"11800","473.393134425","::1","::1","MQTT","228","Publish Message [university/department2]"
"11802","473.393300340","::1","::1","MQTT","228","Publish Message [university/department2]"
"11804","473.536840483","10.0.2.15","18.192.151.104","MQTT","198","Publish Message [metaverse/room2/section1]"
"11806","473.629421930","10.0.2.15","5.196.78.28","MQTT","194","Publish Message [university/facility3]"
"11808","473.947363638","10.0.2.15","18.192.151.104","MQTT","200","Publish Message [hospital/building3/section1]"
