"No.","Time","Source","Destination","Protocol","Length","Info"
"7623","215.280750882","10.0.2.15","5.196.78.28","MQTT","199","Publish Message [factory/department2/room2]"
"7647","217.452422498","10.0.2.15","5.196.78.28","MQTT","215","Publish Message [university/building3/room2/hydraulic_valve]"
"7707","221.572331354","10.0.2.15","5.196.78.28","MQTT","200","Publish Message [metaverse/facility3/floor4]"
"7727","221.948685445","10.0.2.15","5.196.78.28","MQTT","196","Publish Message [hospital/room2/section1]"
"7755","224.146120659","10.0.2.15","5.196.78.28","MQTT","194","Publish Message [hospital/room2/area3]"
"7757","224.668028049","10.0.2.15","5.196.78.28","MQTT","200","Publish Message [university/facility3/floor4]"
"7761","224.860113729","10.0.2.15","5.196.78.28","MQTT","190","Publish Message [university/room2]"
"7769","225.277801663","10.0.2.15","5.196.78.28","MQTT","215","Publish Message [metaverse/building3/floor4/hydraulic_valve]"
"7791","226.742372368","10.0.2.15","5.196.78.28","MQTT","200","Publish Message [factory/building3/section1]"
"7793","226.820122026","10.0.2.15","5.196.78.28","MQTT","94","Publish Message [hospital/department2/area3/deposit]"
"7809","227.820774646","10.0.2.15","5.196.78.28","MQTT","93","Publish Message [hospital/building3/area3/deposit]"
"7813","228.134595254","10.0.2.15","5.196.78.28","MQTT","199","Publish Message [university/building3/room2]"
"7829","229.495692693","10.0.2.15","5.196.78.28","MQTT","192","Publish Message [metaverse/facility3]"
"7833","229.589430088","10.0.2.15","5.196.78.28","MQTT","187","Publish Message [factory/room2]"
"7874","232.037396821","10.0.2.15","5.196.78.28","MQTT","101","Publish Message [university/department2/floor4/temperature]"
"7878","232.239983121","10.0.2.15","5.196.78.28","MQTT","192","Publish Message [hospital/building3]"
"7886","232.790090704","10.0.2.15","5.196.78.28","MQTT","199","Publish Message [factory/building3/section1]"
"7941","234.939230257","10.0.2.15","5.196.78.28","MQTT","206","Publish Message [metaverse/department2/room2/light]"
"7961","236.715207967","10.0.2.15","5.196.78.28","MQTT","209","Publish Message [hospital/building3/section1/humidity]"
"7981","238.804459801","10.0.2.15","5.196.78.28","MQTT","213","Publish Message [hospital/facility3/section1/temperature]"
"7983","238.954379082","10.0.2.15","5.196.78.28","MQTT","86","Publish Message [hospital/building3/floor4]"
"7985","239.512333496","10.0.2.15","5.196.78.28","MQTT","87","Publish Message [hospital/building3/section1]"
"8007","240.865722781","10.0.2.15","5.196.78.28","MQTT","196","Publish Message [hospital/room2/section1]"
"8015","241.065202882","10.0.2.15","5.196.78.28","MQTT","199","Publish Message [factory/department2/room2]"
"8062","244.914757711","10.0.2.15","5.196.78.28","MQTT","192","Publish Message [metaverse/facility3]"
"8072","246.425979797","10.0.2.15","5.196.78.28","MQTT","207","Publish Message [metaverse/facility3/room2/humidity]"
"8221","250.661550121","10.0.2.15","5.196.78.28","MQTT","196","Publish Message [hospital/room2/section1]"
"8237","251.847961580","10.0.2.15","5.196.78.28","MQTT","195","Publish Message [factory/room2/section1]"
"8289","256.628873404","10.0.2.15","5.196.78.28","MQTT","210","Publish Message [factory/building3/floor4/temperature]"
"8291","256.682785230","10.0.2.15","5.196.78.28","MQTT","190","Publish Message [university/room2]"
"8315","259.140520798","10.0.2.15","5.196.78.28","MQTT","208","Publish Message [factory/building3/floor4/pollution]"
"8319","260.595380555","10.0.2.15","5.196.78.28","MQTT","192","Publish Message [metaverse/building3]"
"8354","261.257120773","10.0.2.15","5.196.78.28","MQTT","198","Publish Message [factory/department2/room2]"
"8356","261.298921505","10.0.2.15","5.196.78.28","MQTT","188","Publish Message [hospital/room2]"
"8358","261.353100822","10.0.2.15","5.196.78.28","MQTT","196","Publish Message [university/room2/area3]"
"8394","264.121550099","10.0.2.15","5.196.78.28","MQTT","194","Publish Message [factory/room2/floor4]"
"8400","265.668749284","10.0.2.15","5.196.78.28","MQTT","208","Publish Message [university/building3/area3/deposit]"
"8412","267.573713531","10.0.2.15","5.196.78.28","MQTT","95","Publish Message [hospital/department2/area3/humidity]"
"8436","268.929459152","10.0.2.15","5.196.78.28","MQTT","201","Publish Message [hospital/facility3/section1]"
"8443","269.056772727","10.0.2.15","5.196.78.28","MQTT","189","Publish Message [university/room2]"
"8481","270.953419184","10.0.2.15","5.196.78.28","MQTT","207","Publish Message [hospital/building3/area3/humidity]"
"8528","272.124561034","10.0.2.15","5.196.78.28","MQTT","201","Publish Message [university/department2/area3]"
"8536","273.028109594","10.0.2.15","5.196.78.28","MQTT","200","Publish Message [metaverse/department2/area3]"
"8556","275.012203977","10.0.2.15","5.196.78.28","MQTT","190","Publish Message [factory/facility3]"
"8558","275.206379686","10.0.2.15","5.196.78.28","MQTT","193","Publish Message [metaverse/building3]"
"8564","275.680781721","10.0.2.15","5.196.78.28","MQTT","195","Publish Message [university/department2]"
"8572","276.885588399","10.0.2.15","5.196.78.28","MQTT","89","Publish Message [metaverse/facility3/section1]"
"8612","279.423176295","10.0.2.15","5.196.78.28","MQTT","198","Publish Message [hospital/building3/room2]"
"8687","282.647794420","10.0.2.15","5.196.78.28","MQTT","83","Publish Message [factory/facility3/area3]"
"8720","284.070121035","10.0.2.15","5.196.78.28","MQTT","198","Publish Message [factory/department2/room2]"
"8738","285.114390822","10.0.2.15","5.196.78.28","MQTT","97","Publish Message [hospital/facility3/room2/temperature]"
"8756","285.430831495","10.0.2.15","5.196.78.28","MQTT","192","Publish Message [metaverse/facility3]"
"8833","286.795328018","10.0.2.15","5.196.78.28","MQTT","206","Publish Message [university/facility3/room2/light]"
"8845","287.035929420","10.0.2.15","5.196.78.28","MQTT","210","Publish Message [factory/department2/section1/humidity]"
